id,name,age,birthdate,email,salary,active,hire_date,department,address,phone_number
1,John Doe,28,1995-03-15,johndoe@example.com,60000.00,t,2023-08-01 09:00:00,IT,123 Main St,555-1234
2,Jane Smith,32,1991-07-22,janesmith@example.com,70000.00,t,2023-09-15 10:30:00,HR,456 Elm St,555-5678
3,Alice Johnson,45,1978-02-19,alice.johnson@example.com,85000.00,f,2020-03-12 08:45:00,Finance,789 Oak St,555-8765
4,Bob Brown,38,1985-11-02,bob.brown@example.com,65000.00,t,2022-11-22 14:00:00,Marketing,101 Pine St,555-4321
5,Eve Davis,26,1997-06-05,eve.davis@example.com,50000.00,t,2021-07-13 11:15:00,IT,202 Maple St,555-6789
6,Frank Miller,50,1973-01-30,frank.millers@example.com,95000.00,f,2019-05-25 09:30:00,HR,303 Cedar St,555-9876
7,Grace Lee,29,1994-09-09,grace.lee@example.com,62000.00,t,2023-04-19 16:00:00,Finance,404 Birch St,555-1357
8,Henry Wilson,40,1983-12-15,henry.wilson@example.com,78000.00,t,2020-08-05 10:00:00,Marketing,505 Walnut St,555-2468
9,Ivy Walker,34,1989-05-23,ivy.walker@example.com,73000.00,f,2018-03-29 13:15:00,IT,606 Cherry St,555-3579
10,Jack Hall,27,1996-07-17,jack.hall@example.com,58000.00,t,2021-09-09 08:00:00,HR,707 Chestnut St,555-4680
11,Kate Young,31,1992-03-14,kate.young@example.com,69000.00,t,2022-12-30 14:30:00,Finance,808 Palm St,555-5791
12,Liam King,42,1981-01-10,liam.king@example.com,84000.00,f,2017-06-18 12:00:00,Marketing,909 Spruce St,555-6802
13,Mia Scott,35,1988-08-28,mia.scott@example.com,76000.00,t,2021-11-14 09:45:00,IT,1010 Fir St,555-7913
14,Noah Reed,37,1986-04-03,noah.reed@example.com,81000.00,t,2023-02-24 10:30:00,HR,1111 Ash St,555-8024
15,Olivia Green,33,1990-11-21,olivia.wilde@example.com,72000.00,f,2022-05-02 15:00:00,Finance,1212 Poplar St,555-9135
16,Paul Harris,47,1976-07-07,paul.harris@example.com,88000.00,t,2020-07-01 08:30:00,Marketings,1313 Magnolia St,555-0246
17,Quinn Baker,30,1993-02-25,quinn.baker@example.com,67000.00,f,2019-10-10 11:00:00,IT,1414 Dogwood St,555-1357
18,Sam Foster,36,1987-12-04,sam.foster@example.com,79000.00,t,2022-09-20 16:00:00,Finance,1616 Redwood St,555-3579
19,Tina Brooks,41,1982-10-19,tina.brooks@example.com,86000.00,f,2018-02-28 09:00:00,Marketing,1717 Cypress St,555-4680
20,Uma Clarke,27,1996-08-11,uma.clarke@example.com,58000.00,t,2023-07-07 10:15:00,IT,1818 Hickory St,555-5791
21,Victor Shaw,39,1984-05-15,victor.shaw@example.com,75000.00,t,2019-11-19 08:00:00,HR,1919 Pine St,555-6802
22,Wendy Adams,32,1991-02-22,wendy.adams@example.com,70000.00,t,2020-12-13 13:30:00,Finance,2020 Maple St,555-7913
23,Xander Ray,44,1979-04-29,xander.ray@example.com,82000.00,f,2021-01-08 14:00:00,Marketing,2121 Elm St,555-8024
24,Yara Bell,25,1998-09-10,yara.bell@example.com,54000.00,t,2023-04-22 09:45:00,IT,2222 Oak St,555-9135
25,Zane Parker,48,1975-06-02,zane.parker@example.com,90000.00,t,2019-03-05 10:30:00,HR,2323 Birch St,555-0246
26,Ann Roberts,34,1989-03-30,ann.roberts@example.com,73000.00,t,2022-06-16 12:00:00,Finances,2424 Cedar St,555-1357
27,Ben Turner,30,1993-12-14,ben.turner@example.com,68000.00,t,2020-08-08 11:15:00,Marketing,2525 Walnut St,555-2468
28,Cara Evans,38,1985-07-20,cara.evans@example.com,76000.00,t,2018-09-25 15:00:00,IT,2626 Cherry St,555-3579
